SEQN,Income from wages/salaries,Income from self employment,Income from Social Security or RR,Income from other disability pension,Income from retirement/survivor pension,Income from Supplemental Security,Income from state/county cash assistance,Income from interest/dividends or rental,Income from other sources,Monthly family income,Family monthly poverty level index,Family monthly poverty level category,Gender,Total household income,Total family income,A ratio of family income to poverty guidelines,In what country were you born?,Age,person's education level,Year
62382,1,2,1,1,2,2,1,2,2,3,0.34,1,2,2,2,0.2,1,63,1,2011.2012
62383,1,1,2,2,2,2,2,2,2,8,4.41,3,1,15,4,1.38,1,23,5,2011.2012
62384,2,1,1,1,2,2,2,1,2,4,1.11,1,1,7,7,2.31,1,69,4,2011.2012
62386,1,2,2,2,2,2,2,2,1,7,2.07,3,1,8,8,2.51,1,35,3,2011.2012
62387,1,2,2,2,2,2,2,2,2,3,1.1,1,1,3,3,1.29,1,23,3,2011.2012
62388,2,2,1,2,2,2,2,2,2,4,1.61,2,2,3,3,1.12,1,69,3,2011.2012
62389,1,2,2,2,2,2,2,1,2,12,4.26,3,2,15,15,5,1,47,5,2011.2012
62390,2,2,2,2,2,2,2,2,1,5,2.2,3,2,15,8,4.59,2,25,5,2011.2012
62391,1,2,2,2,2,2,2,1,2,12,5,3,2,15,15,5,1,38,4,2011.2012
62392,1,2,2,2,2,2,2,2,2,5,0.8,1,2,6,6,0.96,1,26,1,2011.2012
62393,1,2,2,2,2,2,2,2,2,3,0.55,1,1,7,7,1.53,1,48,3,2011.2012
62394,1,2,1,2,2,2,2,2,2,3,0.43,1,1,1,1,0.13,1,52,2,2011.2012
62395,1,2,2,2,2,2,2,2,2,8,2.15,3,2,8,8,2.24,1,35,3,2011.2012
62396,1,2,2,2,2,2,2,2,2,4,0.57,1,1,5,5,0.62,1,49,2,2011.2012
62399,1,1,2,2,2,2,2,2,2,5,1.63,2,2,5,5,1.63,2,53,1,2011.2012
62400,2,2,2,2,2,2,2,2,1,4,1.06,1,2,4,4,1.22,1,31,4,2011.2012
62401,1,1,1,2,1,2,2,2,2,7,1.61,2,2,8,8,1.95,1,49,5,2011.2012
62404,1,2,2,2,2,2,2,2,2,4,1.61,2,1,6,6,2.95,1,44,3,2011.2012
62406,1,1,2,2,2,2,2,2,2,9,2.68,3,2,7,7,1.74,1,44,5,2011.2012
62407,1,2,2,2,2,2,2,2,1,7,3.31,3,1,3,3,1.1,1,49,4,2011.2012
62408,2,2,1,1,1,1,2,1,2,8,3.1,3,1,7,7,2.86,1,58,4,2011.2012
62409,2,2,1,2,2,2,2,2,2,3,1.18,1,2,3,3,1.16,1,80,3,2011.2012
62410,1,2,2,2,2,2,2,2,1,5,0.77,1,1,5,5,0.65,1,53,4,2011.2012
62411,1,2,2,2,2,2,2,2,2,6,2.53,3,2,7,7,3.21,1,51,4,2011.2012
62412,1,2,2,2,2,2,2,2,2,6,1.5,2,1,6,6,1.5,2,44,2,2011.2012
62413,1,2,2,2,2,2,2,2,2,1,0,1,1,5,5,1.6,1,65,4,2011.2012
62414,1,2,2,1,2,2,2,2,2,6,1.49,2,1,2,2,0.4,1,56,3,2011.2012
62415,1,1,2,2,2,2,2,1,2,12,5,3,2,15,15,5,1,26,3,2011.2012
62416,1,2,2,2,2,2,2,2,2,9,2.68,3,2,10,10,2.91,1,51,4,2011.2012
62417,1,2,2,2,2,2,2,2,2,7,3.22,3,2,14,8,4.66,1,26,4,2011.2012
62418,1,2,2,2,2,2,2,2,2,6,1.98,3,1,6,6,1.98,1,80,1,2011.2012
62419,1,2,1,1,1,2,9,1,2,6,0.97,1,1,5,5,0.65,1,80,3,2011.2012
62421,2,2,2,2,2,2,2,2,2,6,3,3,1,6,1,0,1,24,5,2011.2012
62423,1,2,2,2,2,2,2,2,2,11,4.3,3,2,14,14,3.8,1,47,4,2011.2012
62427,1,2,2,2,2,2,2,2,2,5,0.92,1,1,4,4,0.69,1,38,3,2011.2012
62429,1,2,2,2,2,2,2,2,2,7,2.86,3,1,14,14,5,1,47,5,2011.2012
62430,1,2,2,2,2,2,2,2,1,7,2.26,3,1,9,9,2.93,1,30,5,2011.2012
62431,2,2,2,1,2,1,1,2,2,2,0.77,1,1,2,2,0.81,1,54,2,2011.2012
62432,1,2,2,2,2,2,2,2,2,12,4.69,3,2,15,15,5,1,37,5,2011.2012
62436,1,2,2,2,2,2,2,2,2,3,0.41,1,1,4,4,0.47,1,50,1,2011.2012
62437,1,2,2,2,2,2,2,2,2,3,0.54,1,1,4,4,0.67,2,39,2,2011.2012
62439,2,1,1,2,1,2,2,1,2,12,5,3,1,15,15,5,1,75,4,2011.2012
62440,1,2,2,2,2,2,2,2,2,7,1.2,1,1,7,7,1.33,2,55,2,2011.2012
62441,2,2,2,2,2,1,2,2,2,2,0.37,1,1,2,2,0.31,2,68,1,2011.2012
62443,1,2,2,2,2,2,2,2,2,7,1.33,2,2,8,8,1.67,1,31,4,2011.2012
62444,2,2,2,2,2,2,2,2,2,1,0,1,2,1,1,0,1,55,5,2011.2012
